Order,praatword,distance,surprisal
883,saying,18,7.672779
884,to,17,5.233519
885,herself,19,5.474466
886,in,19,4.310442
887,a,6,1.877195
888,dreamy,19,10.670322
889,sort,19,7.896547
890,of,19,0.384540
891,way,20,3.896951
892,do,21,8.448807
893,cats,23,13.818154
894,eat,22,7.561644
895,bats,20,9.005168
896,do,9,7.126374
897,cats,11,12.115563
898,eat,11,6.811950
899,bats,10,8.998376
900,and,9,4.263463
901,sometimes,10,6.754373
902,do,10,6.266917
903,bats,12,13.134636
904,eat,11,7.743747
905,cats,12,9.376515
906,for,9,4.994952
907,you,10,6.416454
908,see,11,6.329211
909,as,12,6.240451
910,she,13,5.781781
911,could,15,6.028930
912,n't,15,3.178697
913,answer,15,5.928707
914,either,16,8.652975
915,question,17,5.641715
916,it,17,4.069382
917,did,18,5.852524
918,n't,20,0.520764
919,much,20,7.868575
920,matter,21,2.628357
921,which,21,5.827291
922,way,21,3.495765
923,she,20,2.650664
924,put,22,6.737640
925,it,20,2.352911
926,she,9,5.040805
927,felt,10,6.573592
928,that,9,2.664689
929,she,12,2.881185
930,was,14,1.417453
931,dozing,9,4.404841
932,off,15,5.622425
933,and,16,3.545612
934,had,9,3.274572
935,just,9,4.990970
936,begun,16,5.107858
937,to,15,1.003418
938,dream,17,8.500886
939,that,18,4.207770
940,she,19,1.837521
941,was,21,1.324958
942,walking,21,6.563928
943,hand,22,8.666599
944,in,23,2.467395
945,hand,23,7.061374
946,with,25,3.188185
947,dinah,7,4.122585
949,was,27,2.558585
950,saying,26,10.619509
951,to,21,4.611746
952,her,25,2.120757
953,very,30,8.387078
954,earnestly,30,6.414435
955,now,29,7.206319
956,dinah,15,5.885970
957,tell,30,9.360872
958,me,31,0.941509
959,the,11,3.694565
960,truth,31,1.968041
961,did,32,10.337614
962,you,29,1.742095
963,ever,33,4.145973
964,eat,33,6.281488
965,a,12,2.805675
966,bat,34,7.858107
967,when,9,5.170103
968,suddenly,10,9.783655
969,thump,7,3.527378
970,thump,8,3.399677
971,down,9,10.087864
972,she,11,6.567524
973,came,12,5.593581
974,upon,14,6.644035
975,a,7,2.373461
976,heap,13,10.128013
977,of,13,0.585661
978,sticks,14,9.289542
979,and,14,1.285310
980,dry,9,9.100860
981,leaves,15,6.357390
982,and,15,1.693799
983,the,8,5.340330
984,fall,15,7.851203
985,was,16,8.238331
986,over,12,6.297995
987,alice,9,10.933558
988,was,10,3.846393
989,not,11,3.674931
990,a,6,2.209173
991,bit,12,5.650058
992,hurt,13,7.923365
993,and,13,2.222228
994,she,9,2.185570
995,jumped,10,7.070161
996,up,11,3.302853
997,onto,12,3.212017
998,her,11,2.774215
999,feet,15,5.288474
1000,in,15,3.060456
1001,a,6,1.806276
1002,moment,16,6.881812
1003,she,16,5.610217
1004,looked,19,5.420788
1005,up,19,4.032164
1006,but,20,4.759776
1007,it,9,3.548866
1008,was,12,0.689659
1009,all,12,4.787150
1010,dark,13,8.662927
1011,overhead,13,12.127868
1012,before,14,6.425029
1013,her,13,4.135390
1014,was,15,5.173811
1015,another,15,8.300592
1016,long,16,8.728080
1017,passage,16,9.496268
1018,and,16,3.976418
1019,the,7,3.122684
1020,white,17,7.334691
1021,rabbit,17,4.700472
1022,was,17,2.632691
1023,still,12,5.104113
1024,in,13,2.537561
1025,sight,13,4.931351
1026,hurrying,10,7.352488
1027,down,14,6.008135
1028,it,15,4.940106
1029,there,9,4.681178
1030,was,10,1.864803
1031,not,10,4.448710
1032,a,6,1.587919
1033,moment,12,6.365608
1034,to,12,2.663061
1035,be,15,2.494259
1036,lost,16,6.258588
1037,away,17,7.431050
1038,went,18,13.240970
1039,alice,19,9.560754
1040,like,13,9.972042
1041,the,7,2.482263
1042,wind,12,8.132704
1043,and,12,3.357605
1044,was,9,8.455074
1045,just,7,4.892458
1046,in,12,4.103880
1047,time,12,5.565540
1048,to,13,2.660579
1049,hear,16,5.110090
1050,it,13,2.955175
1051,say,18,6.566779
1052,as,15,5.812635
1053,it,15,3.220567
1054,turned,20,3.677139
1055,a,9,4.976712
1056,corner,20,4.233146
1057,oh,20,10.333929
1058,my,15,3.377297
1059,ears,19,8.057812
1060,and,17,4.248427
1061,whiskers,11,3.962847
1062,how,18,10.004456
1063,late,20,7.122095
1064,it,15,2.819878
1065,'s,21,2.498707
1066,getting,21,5.719072
1067,she,9,5.040805
1068,was,10,2.348529
1069,close,11,7.538311
1070,behind,12,7.783644
1071,it,12,4.997521
1072,when,14,3.342227
1073,she,10,1.993071
1074,turned,14,5.516939
1075,the,8,2.217954
1076,corner,15,5.579006
1077,but,15,4.569067
1078,the,8,3.303111
1079,rabbit,10,8.662508
1080,was,10,1.158928
1081,no,9,5.542629
1082,longer,12,1.575298
1083,to,12,4.835925
1084,be,15,2.166489
