Order,praatword,distance,surprisal
1163,of,15,1.600694
1164,solid,16,6.916584
1165,glass,17,4.206103
1166,there,17,7.595564
1167,was,16,1.474495
1168,nothing,15,3.718827
1169,on,14,4.531350
1170,it,15,1.810465
1171,except,18,4.084509
1172,a,6,1.985245
1173,tiny,14,4.793911
1174,golden,16,7.046230
1175,key,14,5.178236
1176,and,14,2.202859
1177,Alice's,15,3.009934
1178,first,15,5.510315
1179,thought,12,4.278556
1180,was,10,0.400127
1181,that,9,1.042922
1182,it,11,2.715133
1183,might,14,3.745426
1184,belong,14,7.251086
1185,to,14,0.156717
1186,one,13,4.193649
1187,of,17,0.603105
1188,the,6,0.434408
1189,doors,19,7.879050
1190,of,19,1.372037
1191,the,6,0.789472
1192,hall,21,5.281784
1193,but,20,5.055109
1194,alas,9,8.303577
1195,either,9,9.241992
1196,the,6,2.831737
1197,locks,11,11.073493
1198,were,11,1.623683
1199,too,9,4.342533
1200,large,12,3.059848
1201,or,12,1.940935
1202,the,7,1.988279
1203,key,13,8.270707
1204,was,13,1.344876
1205,too,12,3.973416
1206,small,13,2.603803
1207,but,13,4.063176
1208,at,9,5.073132
1209,any,10,2.829592
1210,rate,14,0.216771
1211,it,14,1.398824
1212,would,14,2.868193
1213,not,13,1.724483
1214,open,14,6.556355
1215,any,14,4.622421
1216,of,15,2.630209
1217,them,15,1.250348
1218,however,9,7.340294
1219,on,10,5.888131
