praatword,parsedword,lstm256Surprisal,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
say,say,3.42239665985,15,3.963787,1.375915,-0.513223,18,3.919865,2.088392,-0.480881,18,3.821253,2.614144,-0.582024,18,3.919166,3.163009,-0.477831,23,3.870425,3.387038,-0.536622,23,3.871539,3.587415,-0.527585
presently,UNK,4.00623464584,7,4.479281,2.494211,1.1183,8,4.385994,2.579244,0.490852,8,4.347659,2.632948,0.018804,8,4.333857,2.656404,-0.506605,8,4.329202,2.667938,-0.7191,8,4.326046,2.676096,-0.911319
she,she,2.92360949516,11,4.617909,1.663182,-0.831029,11,4.395948,2.211949,-0.367295,11,4.372823,2.455695,-0.177253,11,4.34744,2.606241,-0.050163,11,4.337325,2.662571,-0.005367,11,4.331793,2.688373,0.012277
began,began,2.98766040802,10,3.071872,1.303376,-0.359806,11,3.104315,1.970293,-0.241656,11,3.101566,2.222148,-0.233547,12,3.10321,2.383102,-0.223139,12,3.105073,2.443913,-0.218658,13,3.106451,2.474749,-0.213624
again,again,5.1157283783,13,4.630221,1.226216,-0.07716,14,4.613064,1.929547,-0.040746,14,4.605554,2.226501,0.004353,14,4.61228,2.361922,-0.02118,15,4.609073,2.450712,0.006799,15,4.60256,2.532712,0.057963
i,i,2.82695960999,9,2.741468,1.152228,-0.073988,9,2.732975,1.169307,-0.76024,9,2.729633,1.179935,-1.04657,9,2.728525,1.183035,-1.17889,9,2.72794,1.184116,-1.2666,9,2.727662,1.184855,-1.34786
wonder,wonder,4.17063713074,10,4.105919,0.914056,-0.238172,10,4.108181,0.958791,-0.210516,10,4.109574,0.971549,-0.208386,11,4.109989,0.978346,-0.204689,11,4.110215,0.982352,-0.201764,11,4.110325,0.983841,-0.201014
if,if,3.89401912689,11,3.218103,0.925134,0.011078,11,3.215714,0.979345,0.020554,12,3.212118,1.006209,0.03466,12,3.210817,1.021521,0.043175,12,3.21011,1.029716,0.047364,13,3.209614,1.03349,0.049649
i,i,1.34064722061,7,0.94794,0.887569,-0.037565,7,0.948198,0.940242,-0.039103,8,0.948836,0.97611,-0.030099,8,0.948945,0.992387,-0.029134,8,0.949044,1.000916,-0.0288,8,0.949138,1.005174,-0.028316
shall,shall,3.96181440353,14,4.933514,0.911113,0.023544,14,4.932268,0.971032,0.03079,14,4.931632,1.008864,0.032754,14,4.931497,1.026632,0.034245,14,4.931416,1.036192,0.035276,14,4.931354,1.042008,0.036834
fall,fall,9.97081947327,15,7.596456,0.890685,-0.020428,15,7.58718,0.994087,0.023055,15,7.580775,1.075547,0.066683,15,7.577251,1.119623,0.092991,15,7.577348,1.12787,0.091678,15,7.576133,1.144553,0.102545
right,right,7.69897508621,15,8.121817,1.427414,0.536729,15,7.894008,1.849777,0.85569,15,7.73129,2.33118,1.25563,16,7.710532,2.433843,1.31422,16,7.685098,2.547819,1.41995,16,7.664785,2.646133,1.50158
through,through,8.99724006653,16,9.836032,0.402172,-1.02524,16,9.58844,0.993466,-0.856311,17,9.587108,1.514761,-0.816419,17,9.529948,1.758688,-0.675155,17,9.505243,1.924007,-0.623812,17,9.420107,2.181104,-0.465029
the,the,1.69582986832,8,1.779169,0.999427,0.597255,7,1.766193,1.511798,0.518332,7,1.769393,2.035125,0.520364,8,1.774253,2.268751,0.510063,8,1.777992,2.425923,0.501916,8,1.803392,2.619719,0.438615
earth,earth,6.77073097229,17,6.1551,0.815787,-0.18364,18,6.006266,1.293648,-0.21815,18,6.009226,1.777878,-0.257247,18,6.021525,1.990431,-0.27832,18,6.019397,2.147658,-0.278265,18,6.027246,2.327995,-0.291724
how,how,4.3684129715,9,4.467998,1.177756,0.361969,9,4.4462,1.275875,-0.017773,9,4.428817,1.362383,-0.415495,9,4.422336,1.38845,-0.601981,9,4.418484,1.402097,-0.745561,9,4.416192,1.409439,-0.918556
funny,funny,8.06973838806,10,10.213883,1.962238,0.784482,10,9.968852,2.385363,1.10949,10,9.79865,2.834889,1.47251,10,9.763233,3.00185,1.6134,10,9.74255,3.095563,1.69347,10,9.727825,3.165016,1.75558
it,it,2.62667441368,12,3.250675,2.390927,0.428689,12,3.305297,2.658544,0.273181,12,3.308566,2.98576,0.150871,12,3.300152,3.168689,0.166839,12,3.292309,3.27148,0.175917,11,3.296718,3.309972,0.144956
'll,'ll,4.18641471863,13,4.705208,1.598425,-0.792502,13,4.635063,1.95345,-0.705094,13,4.550006,2.55998,-0.42578,13,4.552159,2.736066,-0.432623,13,4.551113,2.861172,-0.410308,13,4.54757,2.920346,-0.389626
seem,seem,4.89015960693,15,5.885333,1.636728,0.038303,15,5.791916,1.896867,-0.056583,15,5.785683,2.526413,-0.033567,15,5.781945,2.703491,-0.032575,15,5.779237,2.830662,-0.03051,15,5.781154,2.88564,-0.034706
to,to,1.19756364822,13,0.906779,1.740164,0.103436,14,0.873923,1.959327,0.06246,14,0.871429,2.59791,0.071497,14,0.868399,2.782518,0.079027,15,0.866778,2.908038,0.077376,15,0.866994,2.960511,0.074871
come,come,5.46465015411,18,4.285118,1.744575,0.004411,18,4.281383,1.973551,0.014224,18,4.284658,2.611055,0.013145,18,4.282911,2.801638,0.01912,18,4.282719,2.935419,0.027381,18,4.281979,2.991288,0.030777
