AUDIOTEXT,Trigger,segment,tmin,Order,tmax,cfg.bu,islexical,wordlength,logfreq
was,1,2,23.5894154,243,23.850066,1,0,0.2754,14.56
just,1,2,23.8647894,244,24.233195,2,1,0.3831,13.84
in,1,2,24.2479184,245,24.364896,1,0,0.1317,15.9
time,1,2,24.3796194,246,24.674138,3,1,0.3092,13.58
to,1,2,24.6888614,247,24.771971,1,0,0.0979,16.35
see,1,2,24.7866944,248,24.963535,1,1,0.1915,13.27
it,1,2,24.9782584,249,25.119182,2,0,0.1557,15.37
pop,1,2,25.1339054,250,25.45442,1,1,0.3352,10.04
down,1,2,25.4691434,251,25.676948,2,0,0.2225,12.59
a,1,2,25.6916714,252,25.784088,1,0,0.1072,16.18
large,1,2,25.7988114,253,26.172787,1,1,0.3887,11.81
rabbit,1,2,26.1875104,254,26.508025,1,1,0.3352,8.66
hole,1,2,26.5227484,255,26.807345,2,1,0.2993,10.16
under,1,2,26.8220684,256,27.086268,1,0,0.279,12.43
the,1,2,27.1009914,257,27.19449,1,0,0.1082,16.96
hedge,1,2,27.2092134,258,27.705304,12,1,0.5108,6.68
