Order,praatword,distance,surprisal
1141,the,8,0.922978
1142,middle,14,5.065519
1143,wondering,14,9.814670
1144,how,14,2.317186
1145,she,16,2.650889
1146,was,17,2.046745
1147,ever,17,6.571312
1148,to,18,5.140035
1149,get,19,3.343638
1150,out,20,3.078187
1151,again,21,6.357701
1152,suddenly,9,9.058935
1153,she,10,3.746953
1154,came,11,4.949931
1155,upon,12,6.295422
1156,a,7,2.296527
1157,little,13,5.172923
1159,legged,9,3.474234
1160,table,13,9.292716
1161,all,13,7.337439
1162,made,14,8.793535
1163,of,16,2.856576
1164,solid,15,9.521659
1165,glass,16,7.566505
1166,there,16,7.954870
1167,was,17,4.617788
1168,nothing,19,3.725669
1169,on,18,4.998251
1170,it,21,2.874152
1171,except,22,6.639979
1172,a,7,3.683424
1173,tiny,20,6.519589
1174,golden,20,7.778206
1175,key,20,10.928454
1176,and,20,3.333061
1177,Alice's,16,3.646339
1178,first,16,6.009347
1179,thought,16,6.553512
1180,was,15,1.369535
1181,that,13,2.462397
1182,it,14,2.675759
1183,might,16,4.380069
1184,belong,17,8.215524
1185,to,17,0.295683
1186,one,14,4.716332
1187,of,19,1.039405
1188,the,7,0.553734
1189,doors,21,10.351478
1190,of,21,1.863552
1191,the,7,0.791241
1192,hall,23,6.235774
1193,but,23,5.979379
1194,alas,16,11.076606
1195,either,9,9.196486
1196,the,7,2.864468
1197,locks,11,11.243167
1198,were,11,2.461618
1199,too,11,5.295340
1200,large,12,4.074087
1201,or,12,2.604196
1202,the,8,2.343637
1203,key,13,7.377796
1204,was,13,1.816031
1205,too,12,5.728212
1206,small,13,3.369145
1207,but,13,4.074586
1208,at,9,5.319816
1209,any,13,4.466221
1210,rate,14,3.775898
1211,it,14,2.170994
1212,would,12,2.485937
1213,not,17,2.257777
1214,open,17,7.413545
1215,any,15,4.684854
1216,of,14,3.093129
1217,them,15,3.159900
1218,however,9,5.417370
1219,on,10,5.318976
