praatword,parsedword,k_10distance,k_10surprisal,k_10entropy,k_10Hdelta,k_20distance,k_20surprisal,k_20entropy,k_20Hdelta,k_40distance,k_40surprisal,k_40entropy,k_40Hdelta,k_60distance,k_60surprisal,k_60entropy,k_60Hdelta,k_80distance,k_80surprisal,k_80entropy,k_80Hdelta,k_100distance,k_100surprisal,k_100entropy,k_100Hdelta
daisies,<UNK>,11,2.495422,2.011021,-0.519542,9,2.493747,2.447714,-0.614235,9,2.515126,2.720911,-0.5569,9,2.507515,3.042149,-0.499709,10,2.509169,3.395952,-0.518301,9,2.507873,3.606232,-0.523878
when,when,18,5.17002,2.624084,0.613063,18,5.146987,3.081534,0.63382,18,5.101188,3.317214,0.596303,18,5.101245,3.620598,0.578449,21,5.122404,3.999605,0.603653,21,5.121078,4.212767,0.606535
suddenly,suddenly,10,11.738501,0.251119,-2.37296,10,11.534343,0.869648,-2.21189,10,10.972116,1.734835,-1.58238,10,10.923658,2.040322,-1.58028,10,11.010645,2.170655,-1.82895,10,10.976523,2.41884,-1.79393
a,a,12,4.51942,1.105063,0.853944,11,4.485167,1.750956,0.881308,9,4.68824,2.388035,0.6532,10,4.649639,2.765517,0.725195,10,4.635538,2.92715,0.756495,10,4.621927,3.196094,0.777254
white,white,20,4.573186,0.385008,-0.720055,21,4.592899,1.022138,-0.728818,18,4.642027,1.573715,-0.81432,21,4.634386,1.959429,-0.806088,21,4.638846,2.107273,-0.819877,21,4.634085,2.389517,-0.806577
rabbit,rabbit,20,0.519132,0.281583,-0.103425,21,0.541266,0.9098,-0.112338,18,0.547713,1.479195,-0.09452,20,0.542344,1.862272,-0.097157,20,0.541308,2.00699,-0.100283,21,0.541989,2.285397,-0.10412
with,with,20,8.148811,0.811604,0.530021,21,8.150176,1.425142,0.515342,17,8.070841,2.112069,0.632874,20,8.087311,2.469622,0.60735,20,8.083669,2.656948,0.649958,21,8.090937,2.913686,0.628289
pink,<UNK>,10,2.994846,1.885801,1.0742,10,2.98102,2.516701,1.09156,9,3.003148,3.155472,1.0434,9,2.994285,3.529862,1.06024,8,2.991897,3.720099,1.06315,8,2.990774,3.980776,1.06709
eyes,eyes,23,6.869082,1.330712,-0.555089,24,6.9022,1.901281,-0.61542,21,6.863611,2.545311,-0.610161,23,6.869259,2.92962,-0.600242,23,6.869545,3.108932,-0.611167,24,6.868952,3.377588,-0.603188
ran,ran,24,6.127942,1.277749,-0.052963,24,6.088897,1.895273,-0.006008,22,6.115913,2.33384,-0.211471,22,6.131244,2.713133,-0.216487,24,6.136739,2.889509,-0.219423,24,6.138325,3.169201,-0.208387
close,close,23,9.130373,0.665621,-0.612128,24,9.113483,1.322657,-0.572616,21,8.932533,2.11061,-0.22323,23,8.949632,2.476299,-0.236834,23,8.901811,2.726783,-0.162726,23,8.93049,2.936825,-0.232376
by,by,22,4.031913,0.50782,-0.157801,22,4.032694,1.10635,-0.216307,20,4.076134,1.875339,-0.235271,21,4.082819,2.182833,-0.293466,22,4.089746,2.418384,-0.308399,22,4.092149,2.614071,-0.322754
her,her,18,2.398116,0.627486,0.119666,19,2.399188,1.274624,0.168274,16,2.40032,2.034082,0.158743,18,2.416557,2.337247,0.154414,18,2.414393,2.580837,0.162453,18,2.410736,2.784301,0.17023
there,there,9,4.476592,1.049786,0.4223,9,4.471094,1.072499,-0.202125,9,4.467518,1.09748,-0.936602,9,4.466264,1.103786,-1.23346,9,4.465765,1.107569,-1.47327,9,4.465475,1.109383,-1.67492
was,was,11,1.696273,1.028347,-0.021439,11,1.698899,1.047862,-0.024637,11,1.700511,1.064328,-0.033152,12,1.701137,1.070051,-0.033735,12,1.701377,1.072669,-0.0349,12,1.701474,1.074743,-0.03464
nothing,nothing,10,3.727333,1.367495,0.339148,11,3.721226,1.393524,0.345662,11,3.718097,1.423534,0.359206,11,3.716803,1.432988,0.362937,11,3.716153,1.436733,0.364064,11,3.715778,1.440236,0.365493
so,so,12,5.72531,1.45282,0.085325,12,5.525908,2.308068,0.914544,12,5.458454,2.592091,1.16856,12,5.43241,2.710259,1.27727,12,5.417501,2.779057,1.34232,12,5.408404,2.821132,1.3809
very,very,11,3.890501,1.178776,-0.274044,11,3.989611,1.594094,-0.713974,12,3.974034,2.024591,-0.5675,12,3.976725,2.141315,-0.568944,12,3.980461,2.20589,-0.573167,12,3.978767,2.257886,-0.563246
